,genre,score,budget,gross,seq
0,0,8.4,19000000.0,46998772.0,0
1,1,7.5,10000000.0,30669378.0,0
2,2,6.9,15000000.0,41092328.0,0
3,3,7.4,11000000.0,34971136.0,1
4,3,7.0,5000000.0,42368025.0,1
5,2,6.7,28000000.0,54813222.0,0
6,4,7.2,5500000.0,59303359.0,0
7,0,6.7,10000000.0,10853418.0,1
8,2,6.7,18000000.0,14110013.0,1
9,5,5.6,5000000.0,20471382.0,0
10,2,6.6,16000000.0,17374595.0,1
11,3,5.2,14000000.0,2022771.0,1
12,0,7.6,12000000.0,30036000.0,1
13,4,8.0,22000000.0,52767889.0,1
14,0,8.0,12000000.0,22265763.0,1
15,3,7.2,15000000.0,41630431.0,1
16,6,7.4,3500000.0,6455330.0,1
17,7,7.1,10000000.0,6110670.0,1
18,1,5.0,6000000.0,9056073.0,0
19,0,6.5,10000000.0,8000000.0,1
20,2,6.1,47000000.0,16916617.0,1
21,2,6.5,27500000.0,67893619.0,0
22,2,6.2,36000000.0,55432841.0,1
23,0,5.7,11000000.0,4218594.0,1
24,0,6.6,12000000.0,40218899.0,1
25,2,6.0,6500000.0,4300000.0,1
26,1,7.5,9000000.0,14949697.0,1
27,3,5.0,25000000.0,1402962.0,1
28,3,4.7,8000000.0,724912.0,1
29,1,4.3,11000000.0,4491986.0,0
30,0,5.7,11800000.0,5997566.0,1
31,2,8.0,6400000.0,78371200.0,0
32,1,7.2,9000000.0,20458340.0,1
33,2,4.4,35000000.0,14296438.0,1
34,3,7.0,25000000.0,8613462.0,1
35,4,7.8,14400000.0,34700291.0,1
36,3,7.3,16000000.0,27201487.0,1
37,1,6.0,7500000.0,5142858.0,1
38,3,4.9,25000000.0,5778353.0,1
39,3,6.4,30000000.0,45858563.0,1
40,0,6.7,2000000.0,4389334.0,1
41,0,6.6,13000000.0,6551987.0,1
42,0,5.2,9000000.0,1393501.0,1
43,0,7.9,15000000.0,9949953.0,0
44,0,7.3,3000000.0,21041453.0,1
45,2,6.3,30000000.0,50327960.0,0
46,2,6.2,25000000.0,11603545.0,1
47,0,6.5,2400000.0,16785.0,1
48,4,6.8,12000000.0,17130087.0,1
49,3,5.3,28000000.0,358574.0,1
50,3,6.3,50000000.0,23717291.0,1
51,8,5.3,13000000.0,3558669.0,0
52,0,6.0,10000000.0,6148000.0,0
53,3,5.3,22000000.0,5111099.0,0
54,2,8.3,18500000.0,131060248.0,1
55,3,7.4,25000000.0,13915874.0,0
56,2,7.1,16000000.0,5900712.0,1
57,0,7.5,6000000.0,28607524.0,0
58,3,7.4,24500000.0,17502499.0,0
59,4,7.0,4000000.0,2850707.0,0
60,4,7.1,8500000.0,277646.0,0
61,1,5.7,13000000.0,8033397.0,0
62,5,5.7,2000000.0,7369373.0,1
63,3,3.2,17000000.0,2315683.0,0
64,2,4.6,18000000.0,2295500.0,0
65,3,8.1,16000000.0,30902642.0,0
66,0,8.3,30000000.0,46357676.0,0
67,5,7.3,17000000.0,17186348.0,0
68,2,3.7,17000000.0,15681020.0,0
69,2,6.7,40000000.0,51186259.0,1
70,4,7.4,29000000.0,5899797.0,0
71,9,6.6,6000000.0,12423831.0,0
72,2,6.3,6000000.0,1432687.0,0
73,7,5.3,4500000.0,406881.0,0
74,7,6.3,5300000.0,3107551.0,0
75,2,5.7,1000000.0,210200.0,1
76,7,6.2,5500000.0,969205.0,0
77,1,6.4,19897678.0,1744164.0,0
78,2,7.3,35000000.0,57269863.0,1
79,1,7.5,7500000.0,62493712.0,1
80,1,5.4,10000000.0,3916303.0,0
81,3,7.2,46630000.0,8083123.0,0
82,5,6.5,3000000.0,12090735.0,1
83,1,5.9,2500000.0,1189315.0,0
84,1,6.4,5000000.0,6957975.0,0
85,7,6.2,4000000.0,1791328.0,1
86,0,5.9,5000000.0,429028.0,0
87,0,7.0,4000000.0,1267578.0,0
88,2,6.6,32000000.0,156167015.0,1
89,2,7.5,9000000.0,10161099.0,0
90,0,6.5,7000000.0,8800000.0,0
91,2,6.2,11987578.0,444055.0,0
92,5,5.7,1500000.0,1519796.0,1
93,2,7.2,18000000.0,1911542.0,0
94,2,6.9,23000000.0,27441977.0,0
95,10,6.0,1500000.0,5728953.0,0
96,3,6.8,25000000.0,2075084.0,1
97,0,5.1,19000000.0,1372350.0,0
98,1,7.4,700000.0,357400.0,0
99,1,5.8,6700000.0,1171762.0,0
100,1,7.7,9000000.0,6153939.0,0
101,5,5.1,13000000.0,20560255.0,1
102,2,4.2,30000000.0,15556340.0,1
103,7,6.5,6000000.0,221295.0,0
104,6,6.8,10000000.0,2105078.0,0
105,1,5.9,8000000.0,10438504.0,0
106,7,5.7,15000000.0,15429177.0,0
107,5,7.4,40000000.0,215862692.0,1
